Pref.,npatients,ndeaths,Total cases(ave7),cases(ave7),cases/pop,Total deaths(ave7),deaths(ave7),death/pop,Td7,Rt,K,CFR
Nagano,2329,39.0,2309.428571428571,5.857142857142857,0.28794126560018374,5.571428571428571,0.42857142857142855,0.02106887309269637,123.46166032421307,0.3940727130618226,0.03853767165656319,0.07317073170731707
Nagasaki,1543,35.0,1527.5714285714284,9.857142857142858,0.7520747453300518,5.0,1.1428571428571428,0.08719707192232484,68.91107447397081,0.6942831215470504,0.06798840362854186,0.11594202898550723
Nara,3185,42.0,3115.428571428571,21.57142857142857,1.630530440707542,6.0,0.5714285714285714,0.043192859356491184,73.89164709116868,0.7847722416475631,0.06355465884079237,0.026490066225165563
Niigata,950,12.0,929.142857142857,5.7142857142857135,0.2597702513965573,1.7142857142857142,0.42857142857142855,0.0194827688547418,72.86354119546706,0.6507042827538101,0.06442189421894207,0.07500000000000001
Oita,1223,18.0,1190.8571428571427,9.285714285714285,0.8254092982484433,2.571428571428571,0.14285714285714285,0.01269860458843759,53.47993991394616,0.606179816818798,0.08673224568138194,0.015384615384615385
Okayama,2390,24.0,2364.0,7.428571428571429,0.3946422158492564,3.4285714285714284,0.5714285714285714,0.030357093526865872,125.61482151428272,0.5314372583480312,0.03788977519941983,0.07692307692307691
Okinawa,7822,92.0,7688.285714285714,38.857142857142854,2.6635662233558914,13.142857142857142,0.2857142857142857,0.01958504575996979,76.72566515845654,0.53731823141189,0.06128061243450156,0.007352941176470588
Osaka,44959,991.0,44340.0,176.7142857142857,2.004160488116932,141.57142857142856,9.285714285714285,0.10531158587518236,99.03484667710592,0.5311014176282522,0.047812359043752806,0.05254648342764753
Saga,976,6.0,964.0,3.5714285714285716,0.4415598224364317,0.8571428571428571,0.2857142857142857,0.035324785794914534,104.20499657099666,0.47929335310068494,0.045494961470065265,0.07999999999999999
Saitama,26524,403.0,25845.142857142855,190.4285714285714,2.5931747834237027,57.57142857142857,7.57142857142857,0.10310447375953208,64.02898794961088,0.6962241710784409,0.07297861991200327,0.03975993998499625
Shiga,2233,33.0,2177.2857142857138,15.714285714285714,1.112582754663871,4.714285714285714,0.42857142857142855,0.03034316603628739,68.85677151623966,0.6322521065848621,0.06804015484548243,0.02727272727272727
Shimane,276,0.0,272.0,1.1428571428571428,0.171358057587874,0.0,0.0,0.0,62.60085759008034,0.4703287603271047,0.07457983193277307,0.0
Shizuoka,4732,86.0,4654.142857142857,20.999999999999996,0.5802752825940625,12.285714285714285,1.4285714285714284,0.03947450902000425,77.22312491787413,0.47242657258050974,0.060898124558764866,0.06802721088435375
Tochigi,3871,53.0,3813.4285714285706,14.285714285714285,0.7393913788591885,7.571428571428571,1.0,0.051757396520143197,102.09076230363199,0.4945263450353788,0.046414924702180005,0.07
Tokushima,394,15.0,389.57142857142856,1.2857142857142856,0.17825725016800745,2.142857142857143,0.14285714285714285,0.019806361129778606,104.26070530620605,0.3869797861505311,0.04547121378804553,0.11111111111111112
Tokyo,103416,1017.0,101531.99999999999,510.71428571428567,3.6555028359902253,145.28571428571428,18.714285714285715,0.1339498941299915,86.59655415646964,0.5962236837349952,0.054489506475087324,0.03664335664335665
Tottori,207,2.0,202.71428571428567,1.2857142857142856,0.2331718575040144,0.2857142857142857,0.0,0.0,122.74038235794346,0.8142505212971679,0.03875968992248047,0.0
Toyama,880,27.0,874.9999999999999,1.4285714285714284,0.1380702473804622,3.8571428571428568,0.0,0.0,173.41288111260363,0.40053555224678683,0.027591836734693675,0.0
Wakayama,1106,15.0,1082.7142857142858,6.142857142857142,0.6720445862510618,2.142857142857143,0.14285714285714285,0.015628943866303764,75.62349520816164,0.5947599951466662,0.062145401768043285,0.023255813953488372
Yamagata,526,13.0,513.2857142857142,3.2857142857142856,0.308531099532401,1.857142857142857,0.0,0.0,60.47781177394836,0.6291699487450668,0.07709435012524346,0.0
