name,vmag,ra_deg,dec_deg,bv_color
HIP 1562, 3.56,4.85701265,-8.82382948, 1.214
HIP 75177, 3.57,230.45181856,-36.26116729, 1.534
HIP 37740, 3.57,116.11195237,24.39812929, 0.932
HIP 71053, 3.57,217.95774098,30.37114497, 1.298
HIP 44471, 3.57,135.90649494,47.15665934, 0.007
HIP 100064, 3.58,304.5134103,-12.54485877, 0.883
HIP 35350, 3.58,109.52336162,16.54047526, 0.106
HIP 60260, 3.59,185.34088036,-60.40136988, 1.389
HIP 27072, 3.59,86.11656241,-22.44748663, 0.481
HIP 24674, 3.59,79.40166225,-6.84438616,-0.115
HIP 57757, 3.59,177.67202553,1.76537705, 0.518
HIP 7607, 3.59,24.49792651,48.62848641, 1.275
HIP 85727, 3.60,262.77490395,-60.68360667,-0.104
HIP 42536, 3.60,130.07337168,-52.92197259,-0.168
HIP 46651, 3.60,142.67547063,-40.46688763, 0.371
HIP 76470, 3.60,234.25607748,-28.13507099, 1.361
HIP 6537, 3.60,21.00604671,-8.18275372, 1.065
HIP 33018, 3.60,103.1972503,33.96136985, 0.102
HIP 63613, 3.61,195.56573968,-71.54879865, 1.190
HIP 86929, 3.61,266.43334347,-64.7237345, 1.161
HIP 49841, 3.61,152.64748785,-12.35383921, 1.007
HIP 15900, 3.61,51.20349011,9.02906504, 0.887
HIP 13209, 3.61,42.49578911,27.26079044,-0.1
HIP 82729, 3.62,253.64627156,-42.36075916, 1.393
HIP 37819, 3.62,116.31376631,-37.96859848, 1.706
HIP 7097, 3.62,22.87080776,15.34583101, 0.974
HIP 17847, 3.62,57.29054669,24.05352412,-0.07
HIP 113726, 3.62,345.48019377,42.32597866,-0.099
HIP 57363, 3.63,176.40236386,-66.72884344, 0.160
HIP 101769, 3.64,309.38695734,14.59520289, 0.425
HIP 88714, 3.65,271.65782832,-50.09145462,-0.101
HIP 110960, 3.65,337.20750231,-0.02006304, 0.406
HIP 77233, 3.65,236.54672877,15.42192602, 0.073
HIP 20205, 3.65,64.94805793,15.62770031, 0.981
HIP 46733, 3.65,142.88154025,63.06179545, 0.360
HIP 76600, 3.66,234.66410153,-29.77768935,-0.177
HIP 75695, 3.66,231.95771631,29.10549164, 0.319
HIP 103227, 3.67,313.70241509,-58.4540947, 1.250
HIP 68756, 3.67,211.09760837,64.37580873,-0.049
HIP 42828, 3.68,130.89811451,-33.18641133,-0.18
