name,ra,dec,e_bv
NGC 6858,300.7333,11.2583,0.13
Loden 189,162.5,-56.4,0.13
BH 164,222.0583,-66.3367,0.13
NGC 2394,112.15,7.0867,0.13
Dol Dzim 7,257.65,15.5333,0.13
ESO 370 13,126.7875,-34.705,0.13
ASCC 57,152.7,-66.68,0.13
ASCC 26,102.6,7.25,0.13
NGC 7039,317.7,45.6167,0.131
NGC 2546,123.0625,-37.595,0.134
Ruprecht 108,203.0458,-58.4667,0.136
NGC 2571,124.7333,-29.75,0.137
Saurer 1,110.2333,1.8081,0.14
NGC 6525,270.525,11.0233,0.14
NGC 2533,121.7667,-29.8833,0.14
Loden 46,155.75,-54.8,0.14
ASCC 24,97.1833,-7.02,0.14
NGC 6405,265.0833,-32.2533,0.144
NGC 2240,98.2917,35.25,0.146
Loden 172,157.1125,-60.6667,0.146
Dolidze 24,101.1708,1.6847,0.146
FSR 1153,108.5917,-5.6706,0.146
NGC 6281,256.1708,-37.985,0.148
ASCC 99,282.2708,-18.73,0.15
Loden 915,203.525,-59.25,0.15
Ruprecht 139,270.2625,-23.5333,0.15
ASCC 53,144.4792,-59.55,0.15
NGC 5043,199.0375,-60.0733,0.15
Alessi 37,342.0333,46.2517,0.15
ASCC 12,72.4792,41.73,0.15
NGC 6728,284.6833,-8.97,0.15
ASCC 115,329.2208,51.48,0.15
ASCC 83,237.5542,-52.8,0.15
NGC 6596,274.3875,-16.65,0.15
ESO 166 04,137.625,-53.8867,0.15
Melotte 66,111.5958,-47.6667,0.15
Ruprecht 113,239.2625,-59.4667,0.15
Berkeley 32,104.525,6.4333,0.15
Ferrero 1,275.0542,-32.3517,0.15
ASCC 84,238.725,-60.74,0.15
ASCC 30,104.25,-6.21,0.15
ASCC 64,165.7667,-60.92,0.15
NGC 2579,125.2167,-36.2167,0.15
ASCC 31,105.225,3.5,0.15
Alessi 5,160.7833,-61.1667,0.15
ASCC 110,300.75,33.57,0.15
FSR 0498,7.3042,62.4158,0.15
NGC 1996,84.5417,25.8167,0.15
ASCC 11,53.0708,44.84,0.15
Dolidze 38,301.425,41.2,0.15
ASCC 81,236.7292,-50.98,0.15
NGC 2509,120.2,-19.0517,0.15
NGC 4052,180.2583,-63.225,0.156
Berkeley 29,103.325,16.9167,0.157
NGC 6025,240.8208,-60.4317,0.159
NGC 6811,294.3208,46.3883,0.16
Stock 1,293.95,25.2167,0.16
NGC 6856,299.8208,56.13,0.16
NGC 6819,295.3167,40.1969,0.16
NGC 2312,104.6958,10.295,0.16
ASCC 79,229.8,-60.73,0.16
Harvard 5,186.8167,-60.7789,0.16
ASCC 72,188.25,-60.95,0.16
ASCC 25,101.3833,24.6,0.16
ASCC 1,2.4,62.68,0.16
NGC 2192,93.8208,39.855,0.16
King 23,110.4458,-0.985,0.16
NGC 6791,290.2208,37.7717,0.16
Basel 17,167.6417,-59.0333,0.16
NGC 3446,163.05,-45.1483,0.16
Ruprecht 98,179.6667,-64.5833,0.162
Ruprecht 36,117.0958,-26.3,0.166
Alessi 62,283.9542,21.5803,0.167
ESO 329 02,231.8833,-41.0533,0.167
NGC 7209,331.2792,46.4833,0.168
NGC 2430,114.9208,-16.2967,0.17
Ruprecht 11,106.8375,-20.8,0.17
ASCC 80,231.15,-60.14,0.17
Johansson 1,236.5833,-52.3817,0.17
NGC 6793,290.8083,22.1417,0.17
Collinder 196,131.25,-31.6333,0.17
ASCC 69,181.65,-69.77,0.17
NGC 7801,0.0875,50.7417,0.17
SAI 118,205.7667,-63.1647,0.17
Ruprecht 1,99.0875,-14.1469,0.17
ASCC 3,7.7875,55.28,0.17
Waterloo 2,82.0042,40.3717,0.171
IC 4665,266.575,5.7167,0.174
Haffner 16,117.5833,-25.4667,0.175
NGC 6087,244.7083,-57.935,0.175
NGC 6481,268.2,4.1667,0.18
Alessi 2,71.5083,55.2067,0.18
Ruprecht 138,269.9833,-24.6825,0.18
NGC 2669,131.5917,-52.9483,0.18
Alessi J2327+55,351.9208,55.5917,0.18
SAI 43,77.0708,49.8689,0.18
Ruprecht 145,282.65,-18.25,0.18
Loden 402,173.2167,-60.7167,0.18
Skiff J0458+43.0,74.5583,43.0133,0.18
Alessi 34,120.45,-50.5583,0.18
NGC 2354,108.5417,-25.69,0.18
ASCC 14,80.1292,35.22,0.18
NGC 6633,276.8125,6.5083,0.182
NGC 2547,122.5375,-49.215,0.186
NGC 2251,98.6583,8.3667,0.186
Ruprecht 51,120.9042,-30.65,0.189
Trumpler 3,47.95,63.25,0.19
NGC 6514,270.675,-22.9717,0.19
ESO 397 01,286.0375,-33.385,0.19
NGC 6743,285.3333,29.2767,0.19
ASCC 55,148.575,-57.08,0.19
ESO 313 11,130.9292,-37.7133,0.19
Trumpler 29,265.3792,-40.15,0.19
NGC 1193,46.4833,44.3833,0.19
