Date,Open,High,Low,Close,Volume
2023-08-14,4458.13,4490.33,4453.44,4489.72,1957703753
2023-08-15,4478.87,4478.87,4432.19,4437.86,1976890010
2023-08-16,4433.79,4449.95,4403.55,4404.33,2007563221
2023-08-17,4416.32,4421.17,4364.83,4370.36,2222818962
2023-08-18,4344.88,4381.82,4335.31,4369.71,2159681725
2023-08-21,4380.28,4407.55,4360.3,4399.77,2058836126
2023-08-22,4415.33,4418.59,4382.77,4387.55,1904585562
2023-08-23,4396.44,4443.18,4396.44,4436.01,2021761268
2023-08-24,4455.16,4458.3,4375.55,4376.31,2082566773
2023-08-25,4389.38,4418.46,4356.29,4405.71,1892067072
2023-08-28,4426.03,4439.56,4414.98,4433.31,1631738412
2023-08-29,4432.75,4500.14,4431.68,4497.63,1884706898
2023-08-30,4500.34,4521.65,4493.59,4514.87,1788662114
2023-08-31,4517.01,4532.26,4507.39,4507.66,2319094206
2023-09-01,4530.6,4541.25,4501.35,4515.77,1927089047
2023-09-05,4510.06,4514.29,4496.01,4496.83,2126482524
2023-09-06,4490.35,4490.35,4442.38,4465.48,2134658586
2023-09-07,4434.55,4457.81,4430.46,4451.14,2443175221
2023-09-08,4451.3,4473.53,4448.38,4457.49,2079878833
2023-09-11,4480.98,4490.77,4467.89,4487.46,2165432407
2023-09-12,4473.27,4487.11,4456.83,4461.9,2188365100
2023-09-13,4462.65,4479.39,4453.52,4467.44,2265557149
2023-09-14,4487.78,4511.99,4478.69,4505.1,2273685163
2023-09-15,4497.98,4497.98,4447.21,4450.32,4239330106
2023-09-18,4445.13,4466.36,4442.11,4453.53,1925329039
2023-09-19,4445.41,4449.85,4416.61,4443.95,2013002833
2023-09-20,4452.81,4461.03,4401.38,4402.2,1981250299
2023-09-21,4374.36,4375.7,4329.17,4330.0,2292425252
2023-09-22,4341.74,4357.4,4316.49,4320.06,2131667228
2023-09-25,4310.62,4338.51,4302.7,4337.44,1860152658
2023-09-26,4312.88,4313.01,4265.98,4273.53,2130315512
2023-09-27,4282.63,4292.07,4238.63,4274.51,2299352689
2023-09-28,4269.65,4317.27,4264.38,4299.7,2240204319
2023-09-29,4328.18,4333.15,4274.86,4288.05,2406132169
2023-10-02,4284.52,4300.58,4260.21,4288.39,2374624170
2023-10-03,4269.75,4281.15,4216.45,4229.45,2421468261
2023-10-04,4233.83,4268.5,4220.48,4263.75,2324498903
2023-10-05,4259.31,4267.13,4225.91,4258.19,2214792439
2023-10-06,4234.79,4324.1,4219.55,4308.5,2489880710
2023-10-09,4289.02,4341.73,4283.79,4335.66,1988768924
2023-10-10,4339.75,4385.46,4339.64,4358.24,2166155537
2023-10-11,4366.59,4378.64,4345.34,4376.95,2123886315
2023-10-12,4380.94,4385.85,4325.43,4349.61,2346632881
2023-10-13,4360.49,4377.1,4311.97,4327.78,2302984817
2023-10-16,4342.37,4383.33,4342.37,4373.63,2131763895
2023-10-17,4345.23,4393.57,4337.54,4373.2,2356409078
2023-10-18,4357.35,4364.2,4303.84,4314.6,2398222110
2023-10-19,4321.36,4339.54,4269.69,4278.0,2651568444
2023-10-20,4273.85,4276.56,4223.03,4224.16,2734214474
2023-10-23,4210.4,4255.84,4189.22,4217.04,2453362856
2023-10-24,4235.79,4259.38,4219.43,4247.68,2494717609
2023-10-25,4232.42,4232.42,4181.42,4186.77,2679078988
2023-10-26,4175.99,4183.6,4127.9,4137.23,3005920212
2023-10-27,4152.93,4156.7,4103.78,4117.37,2806304532
2023-10-30,4139.39,4177.47,4132.94,4166.82,2612198547
2023-10-31,4171.33,4195.55,4153.12,4193.8,2707294939
2023-11-01,4201.27,4245.64,4197.74,4237.86,2816162441
2023-11-02,4268.26,4319.72,4268.26,4317.78,2832866448
2023-11-03,4334.23,4373.62,4334.23,4358.34,2684012374
2023-11-06,4364.27,4372.21,4347.53,4365.98,2179931864
2023-11-07,4366.21,4386.26,4355.41,4378.38,2281729918
2023-11-08,4384.37,4391.2,4359.76,4382.78,2290395761
2023-11-09,4391.41,4393.4,4343.94,4347.35,2359322477
2023-11-10,4364.15,4418.03,4353.34,4415.24,2250329104
2023-11-13,4406.66,4421.76,4393.82,4411.55,1990746804
2023-11-14,4458.97,4508.67,4458.97,4495.7,2683327879
2023-11-15,4505.3,4521.17,4495.31,4502.88,2571112283
2023-11-16,4497.08,4511.99,4487.83,4508.24,2502760821
2023-11-17,4509.55,4520.12,4499.66,4514.02,2272264722
2023-11-20,4511.7,4557.11,4510.36,4547.38,2181326784
2023-11-21,4538.77,4542.14,4525.51,4538.19,2063417712
2023-11-22,4553.04,4568.43,4545.05,4556.62,1886708097
2023-11-24,4555.84,4560.31,4552.8,4559.34,891720277
2023-11-27,4554.86,4560.52,4546.32,4550.43,2024029146
2023-11-28,4545.55,4568.14,4540.51,4554.89,2097781469
2023-11-29,4571.84,4587.64,4547.15,4550.58,2434604114
2023-11-30,4554.87,4569.89,4537.24,4567.8,3550309990
2023-12-01,4559.43,4599.39,4554.71,4594.63,2544483462
2023-12-04,4564.37,4572.37,4546.72,4569.78,2490316718
2023-12-05,4557.25,4578.56,4551.68,4567.18,2338779937
2023-12-06,4586.23,4590.74,4546.5,4549.34,2403741486
2023-12-07,4568.84,4590.92,4565.22,4585.59,2469802159
2023-12-08,4576.2,4609.23,4574.06,4604.37,2333925302
2023-12-11,4593.39,4623.71,4593.39,4622.44,2434162631
2023-12-12,4618.3,4643.93,4608.09,4643.7,2365341118
2023-12-13,4646.2,4709.69,4643.23,4707.09,3014960633
2023-12-14,4721.04,4738.57,4694.34,4719.55,3872955047
2023-12-15,4714.23,4725.53,4704.69,4719.19,5311921335
2023-12-18,4725.58,4749.52,4725.58,4740.56,2434634036
2023-12-19,4743.72,4768.69,4743.72,4768.37,2325208666
2023-12-20,4764.73,4778.01,4697.82,4698.35,2485662722
2023-12-21,4724.29,4748.71,4708.35,4746.75,2154794168
2023-12-22,4753.92,4772.94,4736.77,4754.63,1743793044
2023-12-26,4758.86,4784.72,4758.45,4774.75,1447990937
2023-12-27,4773.45,4785.39,4768.9,4781.58,1611192991
2023-12-28,4786.44,4793.3,4780.98,4783.35,1482518840
2023-12-29,4782.88,4788.43,4751.99,4769.83,1742503214
