番号,地点記号,掲載地点名,緯度,経度,MSL潮位表基準面,MSL標高,潮位表基準面標高,M2振幅,M2遅角,S2振幅,S2遅角,K1振幅,K1角度,O1振幅,O1遅角,分潮一覧表,備考
103,TN,淡輪,34゜20',135゜11',95.0,15.4,-79.6,31.45,205.50,17.23,221.49,25.31,201.05,19.22,179.31,2019年,
104,KK,関空島,34゜26',135゜12',95.0,-,-,29.65,209.54,16.83,224.18,25.36,203.31,19.26,182.07,-,
105,J2,岸和田,34゜28',135゜22',95.0,-,-,31.39,211.79,16.70,227.38,25.95,203.69,19.84,180.56,-,
106,IO,泉大津,34゜31',135゜24',95.0,-,-,30.36,213.62,17.31,226.36,25.89,203.09,19.15,180.92,-,
107,SI,堺,34゜36',135゜28',95.0,-,-,30.61,213.73,17.28,228.44,26.34,202.70,19.65,181.20,-,
108,OS,大阪,34゜39',135゜26',95.0,18.6,-76.4,29.61,215.75,16.66,227.77,26.08,203.72,19.65,181.59,2019年,
109,AM,尼崎,34゜42',135゜24',95.0,-,-,29.17,216.62,16.39,228.57,25.81,204.10,19.43,181.95,-,
110,J5,西宮,34゜43',135゜20',95.0,-,-,29.21,216.72,16.44,228.67,25.94,204.13,19.55,181.95,-,
111,KB,神戸,34゜41',135゜11',95.0,20.3,-74.7,28.16,217.23,15.94,228.73,25.76,204.16,19.44,181.96,2019年,
112,AK,明石,34゜39',134゜59',70.0,-,-,15.29,259.86,8.53,241.74,25.42,216.53,19.53,194.63,-,
113,ST,洲本,34゜21',134゜54',95.0,18.0,-77.0,28.75,193.49,16.26,214.02,23.47,203.83,17.96,182.00,2019年,
114,EI,江井,34゜28',134゜50',80.0,-,-,29.78,334.49,6.03,340.86,27.41,228.98,20.51,204.62,-,
115,K1,姫路（飾磨）,34゜47',134゜40',90.0,-,-,33.84,320.75,8.37,324.98,28.12,225.39,20.98,201.31,-,
116,SB,三蟠,34゜36',133゜59',130.0,-,-,59.16,321.06,18.46,339.80,30.18,228.50,22.36,203.90,-,
117,UN,宇野,34゜29',133゜57',140.0,20.4,-119.6,68.03,327.03,21.87,353.15,30.27,233.29,22.37,209.17,2019年,
118,MM,水島,34゜32',133゜44',190.0,-,-,101.54,326.44,36.57,359.45,32.71,234.65,23.70,210.17,-,
119,LG,乙島,34゜30',133゜41',200.0,-,-,103.13,325.25,37.24,358.61,32.33,235.94,23.65,212.12,-,
120,IZ,糸崎,34゜24',133゜05',200.0,-,-,108.38,312.19,41.06,344.97,32.86,231.50,23.95,208.18,-,
121,TH,竹原,34゜20',132゜55',200.0,-,-,105.51,295.30,41.59,325.64,31.99,222.50,23.36,199.99,-,
122,Q9,呉,34゜14',132゜33',200.0,20.1,-179.9,102.74,278.79,42.71,309.00,31.21,217.08,22.93,194.71,-,
123,Q8,広島,34゜21',132゜28',200.0,22.1,-177.9,101.52,277.82,42.10,308.04,31.05,216.68,22.80,194.29,-,
124,QA,徳山,34゜02',131゜48',180.0,19.9,-160.1,87.84,251.87,37.63,281.19,28.46,207.59,21.13,186.11,-,
125,J9,三田尻,34゜02',131゜35',180.0,-,-,89.57,251.60,38.63,280.93,28.71,207.55,21.55,186.19,-,
126,WH,宇部,33゜56',131゜15',210.0,-,-,104.15,254.23,45.66,283.82,29.95,208.92,22.53,187.46,-,
127,CF,長府,34゜01',131゜00',210.0,-,-,107.71,257.58,47.55,287.01,29.86,211.04,22.34,189.46,-,
128,A1,弟子待,33゜56',130゜56',120.0,-,-,57.95,264.52,26.58,294.02,15.09,244.64,13.73,230.52,-,
129,TI,田ノ首,33゜55',130゜55',100.0,-,-,42.71,269.65,20.16,298.55,12.85,268.04,13.32,250.69,-,
130,OH,大山の鼻,33゜55',130゜54',90.0,-,-,41.60,272.13,19.67,300.28,12.53,271.27,12.95,253.64,-,
131,HR,南風泊,33゜57',130゜53',80.0,-,-,35.22,283.24,17.09,308.41,12.02,284.71,12.43,264.33,-,
132,MT,松山,33゜52',132゜43',190.0,15.0,-175.0,99.46,263.65,41.14,292.18,30.77,207.95,22.64,186.32,2019年,
133,M3,波止浜,34゜06',132゜56',200.0,-,-,110.27,297.34,43.64,328.58,32.52,222.59,23.97,200.66,-,
134,M0,今治市小島,34゜08',132゜59',200.0,-,-,108.29,297.11,42.14,327.73,32.69,225.27,24.53,204.67,-,
135,M1,来島航路,34゜07',132゜59',200.0,-,-,102.19,304.24,38.06,336.17,32.45,230.88,24.14,211.06,-,
136,L0,今治,34゜04',133゜00',200.0,-,-,99.71,313.35,37.17,347.00,31.67,233.95,22.91,211.23,-,
137,NI,新居浜,33゜58',133゜16',200.0,-,-,110.72,319.46,41.30,354.00,32.70,235.84,23.78,212.85,-,
138,L8,伊予三島,33゜59',133゜33',210.0,-,-,116.61,323.16,42.87,357.47,33.20,236.28,24.55,212.27,-,
139,TX,多度津,34゜17',133゜45',200.0,-,-,107.41,327.55,38.82,1.43,32.80,236.79,23.94,213.15,-,
140,AX,青木,34゜22',133゜41',200.0,-,-,108.03,326.24,39.53,0.19,32.81,236.43,24.05,212.91,-,
141,J8,与島,34゜23',133゜49',180.0,-,-,90.15,325.38,31.14,356.44,32.20,233.81,23.75,209.84,-,
142,TA,高松,34゜21',134゜03',140.0,16.7,-123.3,66.72,324.92,20.87,348.75,30.90,230.26,22.85,206.10,2019年,
143,KM,小松島,34゜01',134゜35',101.0,15.3,-85.7,41.57,179.53,20.09,203.66,22.23,194.11,17.31,173.38,2019年,
144,J6,橘,33゜52',134゜38',110.0,-,-,44.30,173.71,21.03,199.21,22.26,192.31,16.88,171.49,-,
145,AW,阿波由岐,33゜46',134゜36',106.0,15.3,-90.7,46.97,171.64,21.18,196.14,21.00,188.99,16.44,169.17,2019年,
146,HW,日和佐,33゜43',134゜33',108.0,-,-,48.05,172.90,22.24,198.18,19.32,184.49,15.98,170.08,-,
147,L7,甲浦,33゜33',134゜18',109.0,-,-,47.92,170.48,21.29,195.47,21.14,186.81,16.39,167.01,-,
148,MU,室戸岬,33゜16',134゜10',110.0,25.5,-84.5,49.18,173.14,21.76,197.62,22.02,188.50,16.92,168.47,2019年,
149,KC,高知,33゜30',133゜34',108.0,13.0,-95.0,49.34,173.23,21.94,197.57,21.81,189.60,16.84,169.80,2019年,
150,V7,須崎,33゜23',133゜18',112.0,-,-,49.55,172.03,21.88,196.54,21.63,188.81,16.71,168.95,-,
151,ZH,久礼,33゜20',133゜15',111.0,11.3,-99.7,49.72,172.16,21.97,196.67,21.66,188.97,16.77,169.09,-,
152,L6,高知下田,32゜56',133゜00',108.0,-,-,49.46,174.54,21.42,198.69,21.32,189.82,16.23,169.77,-,
153,TS,土佐清水,32゜47',132゜58',112.0,23.3,-88.7,51.42,174.19,22.71,198.59,22.16,188.89,17.10,168.93,2019年,
154,SU,片島,32゜55',132゜42',117.0,-,-,53.40,179.00,22.90,204.40,21.50,190.00,17.30,171.00,-,
155,UW,宇和島,33゜14',132゜33',130.0,16.1,-113.9,57.46,209.37,24.55,234.43,24.80,195.23,18.82,174.70,2019年,
156,N1,日明,33゜55',130゜53',80.0,-,-,36.19,275.82,17.61,302.55,11.39,281.06,11.89,262.15,-,
157,N0,砂津,33゜54',130゜53',90.0,-,-,40.30,273.01,19.46,300.49,10.82,271.41,10.81,255.82,-,
158,MO,門司,33゜57',130゜57',130.0,-,-,66.09,259.61,29.92,289.79,16.31,234.05,13.94,220.47,-,
159,AH,青浜,33゜57',131゜01',210.0,-,-,106.58,256.79,47.07,286.32,29.71,210.76,22.34,189.29,-,
160,O3,苅田,33゜48',131゜00',210.0,-,-,105.77,256.17,46.43,285.81,29.64,209.81,22.16,188.38,-,
161,BP,別府,33゜18',131゜30',130.0,-,-,58.64,241.71,24.43,270.04,25.60,205.72,19.33,184.17,-,
